Symbol,Price,Change%,Volume,Avg Vol (3M),Market Cap,PE (TTM),EPS (TTM),Beta (5Y),RSI (14),Weekly Ret %,Monthly Ret %,YTD Ret %,52W Ret %,52W Range,Target 1Y,List
TCGL,114.3,120927.9,3.65M,982.97K,2.34B,N/A,-0.03,N/A,99.34,1282.1,2048.5,2331.91,2218.46,3.95 - 135.91,N/A,Rockets
MOD,174.33,1867.2571,3.17M,1.23M,9.18B,50.239193,3.47,1.701,91.18,18.17,28.0,27.97,77.51,64.79 - 182.59,183.0,Rockets
LUV,48.415,1849.223,20.74M,9.06M,25.43B,61.28481,0.79,1.152,68.25,14.08,17.74,16.63,56.31,23.82 - 48.58,42.62609,Rockets
LBRT,25.77,1821.1016,6.95M,3.60M,4.17B,22.80531,1.13,0.46,80.83,19.8,40.28,39.3,27.8,9.5 - 27.21,21.23077,Other
TAL,12.675,1779.7398,11.40M,3.29M,7.71B,45.267857,0.28,0.049,61.94,13.88,15.33,13.17,2.22,8.5 - 15.3,14.65,Other
RCL,338.055,1596.8847,4.78M,2.30M,92.22B,22.740417,14.87,1.941,63.87,18.39,19.59,21.38,27.24,164.01 - 366.5,332.20834,Other
INOD,64.095,1481.0173,3.28M,1.20M,2.04B,63.47525,1.01,2.436,50.62,5.58,23.07,22.16,87.58,26.41 - 93.85,93.75,Rockets
VIAV,24.065,1443.1763999999998,10.80M,4.19M,5.37B,401.08334,0.06,0.948,87.9,24.05,32.96,33.32,143.08,8.1 - 24.95,25.07143,Rockets
BKD,14.565,1109.8398,5.55M,3.90M,3.46B,N/A,-1.32,0.672,88.37,14.32,34.49,35.87,209.89,4.45 - 14.57,15.5,Rockets
META,737.77,1032.4053,46.63M,19.30M,1.86T,31.434599,23.47,1.287,71.98,13.92,12.01,11.32,9.4,479.8 - 796.25,845.30505,Other
NCLH,22.725,930.7356000000001,19.33M,17.93M,10.35B,16.34892,1.39,2.083,38.57,9.15,1.41,0.91,-20.15,14.21 - 29.29,27.70455,Other
ALGM,37.61,885.6733,6.77M,2.10M,6.96B,N/A,-0.16,1.605,75.59,11.24,41.76,39.3,64.6,16.38 - 39.8895,38.91667,Rockets
PLXS,195.535,811.9987500000001,558.50K,210.65K,5.24B,31.2856,6.25,0.805,78.52,7.88,29.25,32.81,36.34,103.43 - 196.59,165.0,Other
CCL,31.065,816.5047,26.89M,20.49M,42.94B,15.378714,2.02,2.516,45.89,9.04,1.12,1.22,11.3,15.07 - 32.89,38.00435,Other
CUK,30.79,807.3012,4.47M,2.00M,40.71B,15.242575,2.02,2.516,45.91,8.72,1.22,1.28,21.17,13.65 - 32.65,35.5,Other
TT,423.625,746.66595,2.87M,1.46M,94.26B,32.36249,13.09,1.216,77.57,8.59,7.47,8.38,17.22,298.15 - 476.19,476.5175,Simmering Growth
HXL,86.12,734.1392500000001,2.29M,1.14M,6.86B,101.31765,0.85,1.072,66.37,3.53,14.14,15.96,32.57,45.28 - 88.0,81.07143,Other
UCTT,48.6,721.3758,841.80K,683.73K,2.21B,N/A,-3.57,1.953,83.11,10.1,87.72,85.92,38.23,16.66 - 48.61,38.75,Other
VIRT,39.78,610.82873,1.03M,975.97K,8.48B,8.629066,4.61,0.579,94.92,7.19,15.98,18.75,2.98,31.55 - 45.77,42.42857,Other
AOS,73.76,614.4775400000001,2.12M,1.29M,10.34B,19.881401,3.71,1.349,60.99,0.92,8.34,9.99,8.75,58.83 - 77.31,78.27273,Other
ERO,38.3994,634.3493,3.54M,1.39M,4.00B,28.86466,1.33,1.65,82.56,24.15,39.53,32.82,185.92,9.3 - 39.799,33.66667,Rockets
LMT,633.75,607.7651000000001,2.13M,1.56M,147.92B,35.237488,17.98,0.245,87.79,6.71,29.64,31.14,43.59,410.11 - 645.67,569.6842,Other
OLMA,26.01,586.08084,917.36K,3.78M,2.08B,N/A,-1.76,1.932,51.6,-1.55,1.44,3.87,318.84,2.86 - 36.259,45.9,Other
TVTX,31.9,535.0062399999999,1.08M,2.28M,2.85B,N/A,-1.03,0.854,35.01,7.3,-17.95,-18.44,55.99,12.91 - 42.13,42.07143,Other
CHRW,194.54,556.76117,3.15M,1.65M,22.98B,39.30101,4.95,0.913,88.01,9.35,18.67,20.56,84.2,84.68 - 200.325,184.45833,Rockets
